2024-05-18T11:41:20.171880+0530 - INFO - Cross-validation technique:RepeatedStratifiedKFold,                Number of repeats:2,                Number of splits:5,                Time taken:0.7706189155578613,                ROC-AUC scores:[0.9430532225504519, 0.9479494133511991, 0.9496860612932043, 0.9455658841819556, 0.9436418822579538, 0.9488009962736277, 0.950158472479901, 0.9399833797155226, 0.941465569813784, 0.9494079828901257],                Mean ROC-AUC score:0.9459712864807726,                Precision:[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0],                Mean precision:0.0,                Recall:[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0],                Mean recall:0.0,                F1 scores:[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0],                Mean F1 scores:0.0
2024-05-18T11:41:20.171880+0530 - INFO - Cross-validation technique:RepeatedStratifiedKFold,                Number of repeats:2,                Number of splits:5,                Time taken:0.7706189155578613,                ROC-AUC scores:[0.9430532225504519, 0.9479494133511991, 0.9496860612932043, 0.9455658841819556, 0.9436418822579538, 0.9488009962736277, 0.950158472479901, 0.9399833797155226, 0.941465569813784, 0.9494079828901257],                Mean ROC-AUC score:0.9459712864807726,                Precision:[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0],                Mean precision:0.0,                Recall:[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0],                Mean recall:0.0,                F1 scores:[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0],                Mean F1 scores:0.0
2024-05-18T11:41:20.171880+0530 - INFO - Cross-validation technique:RepeatedStratifiedKFold,                Number of repeats:2,                Number of splits:5,                Time taken:0.7706189155578613,                ROC-AUC scores:[0.9430532225504519, 0.9479494133511991, 0.9496860612932043, 0.9455658841819556, 0.9436418822579538, 0.9488009962736277, 0.950158472479901, 0.9399833797155226, 0.941465569813784, 0.9494079828901257],                Mean ROC-AUC score:0.9459712864807726,                Precision:[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0],                Mean precision:0.0,                Recall:[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0],                Mean recall:0.0,                F1 scores:[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0],                Mean F1 scores:0.0
2024-05-18T11:41:20.171880+0530 - INFO - Cross-validation technique:RepeatedStratifiedKFold,                Number of repeats:2,                Number of splits:5,                Time taken:0.7706189155578613,                ROC-AUC scores:[0.9430532225504519, 0.9479494133511991, 0.9496860612932043, 0.9455658841819556, 0.9436418822579538, 0.9488009962736277, 0.950158472479901, 0.9399833797155226, 0.941465569813784, 0.9494079828901257],                Mean ROC-AUC score:0.9459712864807726,                Precision:[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0],                Mean precision:0.0,                Recall:[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0],                Mean recall:0.0,                F1 scores:[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0],                Mean F1 scores:0.0
2024-05-18T11:41:21.388425+0530 - INFO - Cross-validation technique:RepeatedStratifiedKFold,                Number of repeats:2,                Number of splits:5,                Time taken:0.6793472766876221,                ROC-AUC scores:[0.9430532225504519, 0.9479494133511991, 0.9496860612932043, 0.9455658841819556, 0.9436418822579538, 0.9488009962736277, 0.950158472479901, 0.9399833797155226, 0.941465569813784, 0.9494079828901257],                Mean ROC-AUC score:0.9459712864807726,                Precision:[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0],                Mean precision:0.0,                Recall:[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0],                Mean recall:0.0,                F1 scores:[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0],                Mean F1 scores:0.0
2024-05-18T11:41:21.388425+0530 - INFO - Cross-validation technique:RepeatedStratifiedKFold,                Number of repeats:2,                Number of splits:5,                Time taken:0.6793472766876221,                ROC-AUC scores:[0.9430532225504519, 0.9479494133511991, 0.9496860612932043, 0.9455658841819556, 0.9436418822579538, 0.9488009962736277, 0.950158472479901, 0.9399833797155226, 0.941465569813784, 0.9494079828901257],                Mean ROC-AUC score:0.9459712864807726,                Precision:[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0],                Mean precision:0.0,                Recall:[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0],                Mean recall:0.0,                F1 scores:[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0],                Mean F1 scores:0.0
2024-05-18T11:41:21.388425+0530 - INFO - Cross-validation technique:RepeatedStratifiedKFold,                Number of repeats:2,                Number of splits:5,                Time taken:0.6793472766876221,                ROC-AUC scores:[0.9430532225504519, 0.9479494133511991, 0.9496860612932043, 0.9455658841819556, 0.9436418822579538, 0.9488009962736277, 0.950158472479901, 0.9399833797155226, 0.941465569813784, 0.9494079828901257],                Mean ROC-AUC score:0.9459712864807726,                Precision:[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0],                Mean precision:0.0,                Recall:[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0],                Mean recall:0.0,                F1 scores:[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0],                Mean F1 scores:0.0
2024-05-18T11:41:21.388425+0530 - INFO - Cross-validation technique:RepeatedStratifiedKFold,                Number of repeats:2,                Number of splits:5,                Time taken:0.6793472766876221,                ROC-AUC scores:[0.9430532225504519, 0.9479494133511991, 0.9496860612932043, 0.9455658841819556, 0.9436418822579538, 0.9488009962736277, 0.950158472479901, 0.9399833797155226, 0.941465569813784, 0.9494079828901257],                Mean ROC-AUC score:0.9459712864807726,                Precision:[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0],                Mean precision:0.0,                Recall:[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0],                Mean recall:0.0,                F1 scores:[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0],                Mean F1 scores:0.0
2024-05-18T11:41:21.388425+0530 - INFO - Cross-validation technique:RepeatedStratifiedKFold,                Number of repeats:2,                Number of splits:5,                Time taken:0.6793472766876221,                ROC-AUC scores:[0.9430532225504519, 0.9479494133511991, 0.9496860612932043, 0.9455658841819556, 0.9436418822579538, 0.9488009962736277, 0.950158472479901, 0.9399833797155226, 0.941465569813784, 0.9494079828901257],                Mean ROC-AUC score:0.9459712864807726,                Precision:[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0],                Mean precision:0.0,                Recall:[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0],                Mean recall:0.0,                F1 scores:[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0],                Mean F1 scores:0.0
2024-05-18T11:41:21.388425+0530 - INFO - Cross-validation technique:RepeatedStratifiedKFold,                Number of repeats:2,                Number of splits:5,                Time taken:0.6793472766876221,                ROC-AUC scores:[0.9430532225504519, 0.9479494133511991, 0.9496860612932043, 0.9455658841819556, 0.9436418822579538, 0.9488009962736277, 0.950158472479901, 0.9399833797155226, 0.941465569813784, 0.9494079828901257],                Mean ROC-AUC score:0.9459712864807726,                Precision:[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0],                Mean precision:0.0,                Recall:[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0],                Mean recall:0.0,                F1 scores:[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0],                Mean F1 scores:0.0
2024-05-18T11:41:21.388425+0530 - INFO - Cross-validation technique:RepeatedStratifiedKFold,                Number of repeats:2,                Number of splits:5,                Time taken:0.6793472766876221,                ROC-AUC scores:[0.9430532225504519, 0.9479494133511991, 0.9496860612932043, 0.9455658841819556, 0.9436418822579538, 0.9488009962736277, 0.950158472479901, 0.9399833797155226, 0.941465569813784, 0.9494079828901257],                Mean ROC-AUC score:0.9459712864807726,                Precision:[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0],                Mean precision:0.0,                Recall:[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0],                Mean recall:0.0,                F1 scores:[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0],                Mean F1 scores:0.0
2024-05-18T11:41:22.726923+0530 - INFO - Cross-validation technique:RepeatedStratifiedKFold,                Number of repeats:2,                Number of splits:5,                Time taken:0.6815013885498047,                ROC-AUC scores:[0.9430532225504519, 0.9479494133511991, 0.9496860612932043, 0.9455658841819556, 0.9436418822579538, 0.9488009962736277, 0.950158472479901, 0.9399833797155226, 0.941465569813784, 0.9494079828901257],                Mean ROC-AUC score:0.9459712864807726,                Precision:[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0],                Mean precision:0.0,                Recall:[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0],                Mean recall:0.0,                F1 scores:[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0],                Mean F1 scores:0.0
